Device_id,Model Name,Model ID,Fusion Op,Original Ops,Memory Input(KB),Memory Output(KB),Memory Weight(KB),Memory Workspace(KB),Memory Total(KB)
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.10/cv1/conv/Conv/model.10/cv1/act/Sigmoid/model.10/cv1/act/Mul,/model.10/cv1/conv/Conv;/model.10/cv1/act/Sigmoid;/model.10/cv1/act/Mul,328.59375,200.03125,128.5625,0.0,657.1875
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,PartitionedCall_/model.10/Split_SplitV_54,/model.10/Split,200.03125,200.0625,0.0,0.0,400.09375
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.10/m/m.0/attn/qkv/conv/Conv,/model.10/m/m.0/attn/qkv/conv/Conv,164.59375,200.03125,64.5625,0.0,429.1875
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,PartitionedCall_/model.10/m/m.0/attn/Split_SplitV_66,/model.10/m/m.0/attn/Split,200.03125,200.09375,0.0,0.0,400.125
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.10/m/m.0/attn/MatMul/model.10/m/m.0/attn/Mul,/model.10/m/m.0/attn/MatMul;/model.10/m/m.0/attn/Mul,100.125,625.03125,0.0625,0.0,725.21875
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,trans_TransData_114/model.10/m/m.0/attn/MatMul_1function_graph_0//model.10/m/m.0/attn/MatMul_1/model.10/m/m.0/attn/MatMul_1function_graph_0//model.10/m/m.0/attn/MatMul_1_pass.1,/model.10/m/m.0/attn/MatMul_1function_graph_0//model.10/m/m.0/attn/MatMul_1,725.0625,100.03125,0.0,0.0,825.09375
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.10/m/m.0/attn/pe/conv/Convfunction_graph_1//model.10/m/m.0/attn/pe/conv/Conv/model.10/m/m.0/attn/pe/conv/Convfunction_graph_1//model.10/m/m.0/attn/pe/conv/Conv_pass.1,/model.10/m/m.0/attn/pe/conv/Conv;/model.10/m/m.0/attn/Add,236.375,100.03125,36.3125,0.0,372.71875
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.10/m/m.0/attn/proj/conv/Convfunction_graph_2//model.10/m/m.0/attn/proj/conv/Conv/model.10/m/m.0/attn/proj/conv/Convfunction_graph_2//model.10/m/m.0/attn/proj/conv/Conv_pass.1,/model.10/m/m.0/attn/proj/conv/Conv;/model.10/m/m.0/Add,232.375,100.03125,32.3125,0.0,364.71875
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.10/m/m.0/ffn/ffn.0/conv/Conv/model.10/m/m.0/ffn/ffn.0/act/Sigmoid/model.10/m/m.0/ffn/ffn.0/act/Mul,/model.10/m/m.0/ffn/ffn.0/conv/Conv;/model.10/m/m.0/ffn/ffn.0/act/Sigmoid;/model.10/m/m.0/ffn/ffn.0/act/Mul,164.59375,200.03125,64.5625,0.0,429.1875
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.10/m/m.0/ffn/ffn.1/conv/Convfunction_graph_3//model.10/m/m.0/ffn/ffn.1/conv/Conv/model.10/m/m.0/ffn/ffn.1/conv/Convfunction_graph_3//model.10/m/m.0/ffn/ffn.1/conv/Conv_pass.1,/model.10/m/m.0/ffn/ffn.1/conv/Conv;/model.10/m/m.0/Add_1,364.375,100.03125,64.3125,0.0,528.71875
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.10/cv2/conv/Conv/model.10/cv2/act/Sigmoid/model.10/cv2/act/Mul,/model.10/cv2/conv/Conv;/model.10/cv2/act/Sigmoid;/model.10/cv2/act/Mul,328.59375,200.03125,128.5625,0.0,657.1875
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,PartitionedCall_/model.11/Resize_ResizeNearestNeighborV2_39,/model.11/Resize,200.09375,800.03125,0.0625,0.0,1000.1875
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.13/cv1/conv/Conv/model.13/cv1/act/Sigmoid/model.13/cv1/act/Mul,/model.13/cv1/conv/Conv;/model.13/cv1/act/Sigmoid;/model.13/cv1/act/Mul,1296.34375,400.03125,96.3125,0.0,1792.6875
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,PartitionedCall_/model.13/Split_SplitV_30,/model.13/Split,400.03125,400.0625,0.0,0.0,800.09375
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.13/m.0/cv1/conv/Conv/model.13/m.0/cv1/act/Sigmoid/model.13/m.0/cv1/act/Mul,/model.13/m.0/cv1/conv/Conv;/model.13/m.0/cv1/act/Sigmoid;/model.13/m.0/cv1/act/Mul,236.15625,100.03125,36.125,0.0,372.3125
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.13/m.0/cv2/conv/Conv/model.13/m.0/cv2/act/Sigmoid/model.13/m.0/cv2/act/Mul,/model.13/m.0/cv2/conv/Conv;/model.13/m.0/cv2/act/Sigmoid;/model.13/m.0/cv2/act/Mul,136.21875,200.03125,36.1875,0.0,372.4375
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.13/cv2/conv/Conv/model.13/cv2/act/Sigmoid/model.13/cv2/act/Mul,/model.13/cv2/conv/Conv;/model.13/cv2/act/Sigmoid;/model.13/cv2/act/Mul,648.34375,400.03125,48.3125,0.0,1096.6875
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,PartitionedCall_/model.14/Resize_ResizeNearestNeighborV2_15,/model.14/Resize,400.09375,1600.03125,0.0625,0.0,2000.1875
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.16/cv1/conv/Conv/model.16/cv1/act/Sigmoid/model.16/cv1/act/Mul,/model.16/cv1/conv/Conv;/model.16/cv1/act/Sigmoid;/model.16/cv1/act/Mul,3232.21875,800.03125,32.1875,0.0,4064.4375
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,PartitionedCall_/model.16/Split_SplitV_10,/model.16/Split,800.03125,800.0625,0.0,0.0,1600.09375
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.16/m.0/cv1/conv/Conv/model.16/m.0/cv1/act/Sigmoid/model.16/m.0/cv1/act/Mul,/model.16/m.0/cv1/conv/Conv;/model.16/m.0/cv1/act/Sigmoid;/model.16/m.0/cv1/act/Mul,409.125,200.03125,9.09375,0.0,618.25
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.16/m.0/cv2/conv/Conv/model.16/m.0/cv2/act/Sigmoid/model.16/m.0/cv2/act/Mul,/model.16/m.0/cv2/conv/Conv;/model.16/m.0/cv2/act/Sigmoid;/model.16/m.0/cv2/act/Mul,209.15625,400.03125,9.125,0.0,618.3125
